position,champion,avg_kills,avg_deaths,avg_assists,avg_kda,avg_damage,avg_tanking,avg_vision,avg_gold,avg_cs,avg_time,avg_solokills,DPM,GPM,VSPM,DTM
BOTTOM,베인,6.69,5.96,5.18,2.93,20876.7595,20150.5189,22.1993,12343.0893,194.7251,1537.38,0.6,814.77,481.72,0.87,786.42
MIDDLE,아우렐리온 솔,5.96,4.48,7.45,4.54,22377.381,19650.4078,21.4408,11015.3736,196.7302,1573.81,0.89,853.12,419.95,0.82,749.15
UTILITY,카밀,4.66,7.44,11.16,2.92,15164.8911,23682.9844,83.0311,9196.4475,33.1362,1540.55,0.62,590.63,358.18,3.23,922.39
UTILITY,샤코,4.57,5.91,10.11,3.27,18185.472,18821.8437,87.0649,9346.4543,32.8614,1637.74,0.67,666.24,342.42,3.19,689.56
MIDDLE,세라핀,3.92,4.06,8.98,4.41,16000.5306,15412.3878,25.2041,9957.1837,174.9388,1551.96,0.57,618.59,384.95,0.97,595.86
MIDDLE,제라스,5.89,4.2,7.88,5.07,25825.5517,14650.3657,22.6499,11151.884,196.326,1600.67,1.19,968.05,418.02,0.85,549.16
JUNGLE,이블린,8.27,4.41,6.76,5.38,20290.3737,23357.0871,29.5417,12087.3258,173.3396,1604.27,1.47,758.86,452.07,1.1,873.56
MIDDLE,카르마,2.88,4.38,8.11,4.15,17978.9297,19759.1797,25.4375,9408.0469,176.5078,1534.73,0.71,702.88,367.81,0.99,772.48
MIDDLE,코르키,5.19,5.41,5.36,2.88,24115.0556,21829.9012,24.0972,11711.9367,221.6713,1567.32,1.23,923.17,448.36,0.92,835.69
UTILITY,소나,1.61,5.12,13.45,4.22,9348.7511,18521.9124,79.7283,8020.7835,27.6801,1586.94,0.15,353.46,303.25,3.01,700.29
TOP,니달리,5.49,4.75,4.33,3.14,20993.3107,30027.1412,25.2034,10861.5989,186.6893,1484.34,2.84,848.59,439.05,1.02,1213.75
MIDDLE,케인,5.33,5.0,4.33,1.89,15892.6667,23517.0,29.3333,10343.0,194.3333,1541.33,1.67,618.66,402.63,1.14,915.45
TOP,아지르,4.27,4.61,5.26,2.66,24171.5828,21317.7152,28.404,11812.0662,222.1589,1639.79,1.48,884.44,432.2,1.04,780.02
MIDDLE,모르가나,3.73,4.34,9.75,4.34,18260.7081,20039.1297,27.2703,10142.6595,186.9514,1578.48,0.62,694.11,385.53,1.04,761.71
JUNGLE,렝가,8.23,4.86,5.68,4.63,20270.0901,26181.2015,29.7038,12943.1908,204.4351,1540.06,2.17,789.71,504.26,1.16,1020.01
UTILITY,자르반 4세,3.2,6.68,13.76,3.64,11627.3516,20541.6154,75.4835,8532.0989,35.6154,1509.98,0.54,462.02,339.03,3.0,816.24
UTILITY,트위치,7.0,8.62,9.37,2.46,24298.2,21572.4308,79.9077,10559.8462,43.8308,1654.91,1.22,880.95,382.86,2.9,782.13
MIDDLE,판테온,7.67,5.31,6.47,4.03,23161.883,22563.7019,23.1458,11129.6442,172.4407,1550.4,2.03,896.36,430.71,0.9,873.21
BOTTOM,스웨인,6.54,4.38,9.37,5.46,23573.8826,27439.0896,21.6604,12207.0278,197.096,1558.56,0.59,907.52,469.93,0.83,1056.32
UTILITY,아무무,1.91,7.17,13.16,2.57,9597.03,22313.27,78.35,7889.57,29.71,1569.79,0.14,366.81,301.55,2.99,852.85
JUNGLE,다리우스,6.06,4.94,6.29,3.55,12788.1765,27274.1765,26.0,10513.8824,162.4706,1454.18,0.59,527.65,433.81,1.07,1125.35
MIDDLE,카사딘,6.2,4.25,4.62,3.93,21408.1225,25934.0131,22.0197,11951.7199,202.6061,1552.0,1.56,827.63,462.05,0.85,1002.6
MIDDLE,클레드,5.34,5.2,7.0,3.58,18389.792,32943.544,20.952,10537.688,176.592,1476.68,1.39,747.21,428.16,0.85,1338.55
MIDDLE,녹턴,5.63,5.56,7.48,3.49,18256.9863,25629.5205,19.5342,10916.4247,187.3973,1586.62,1.33,690.41,412.82,0.74,969.21
MIDDLE,바루스,7.53,5.14,5.46,4.08,23846.479,20723.8383,21.8503,11840.1078,192.7246,1572.38,2.28,909.95,451.8,0.83,790.8
