position,champion,team,total_games,win_count,win_rate
MIDDLE,마오카이,Red,2,1,50.0
MIDDLE,말자하,Blue,396,171,43.18
MIDDLE,말자하,Red,421,212,50.36
MIDDLE,말파이트,Blue,64,33,51.56
MIDDLE,말파이트,Red,50,25,50.0
MIDDLE,멜,Blue,609,251,41.22
MIDDLE,멜,Red,616,277,44.97
MIDDLE,모데카이저,Blue,38,20,52.63
MIDDLE,모데카이저,Red,25,11,44.0
MIDDLE,모르가나,Blue,90,48,53.33
MIDDLE,모르가나,Red,95,52,54.74
MIDDLE,문도 박사,Blue,5,3,60.0
MIDDLE,문도 박사,Red,6,1,16.67
MIDDLE,미스 포츈,Red,3,1,33.33
MIDDLE,밀리오,Blue,1,0,0.0
MIDDLE,바루스,Blue,85,50,58.82
MIDDLE,바루스,Red,82,55,67.07
MIDDLE,바이,Blue,6,3,50.0
MIDDLE,바이,Red,3,1,33.33
MIDDLE,베이가,Blue,197,108,54.82
MIDDLE,베이가,Red,191,93,48.69
MIDDLE,베인,Blue,5,2,40.0
MIDDLE,베인,Red,20,8,40.0
MIDDLE,벡스,Blue,587,319,54.34
MIDDLE,벡스,Red,568,299,52.64
MIDDLE,벨베스,Blue,5,2,40.0
MIDDLE,벨베스,Red,3,2,66.67
MIDDLE,벨코즈,Blue,64,33,51.56
MIDDLE,벨코즈,Red,66,29,43.94
MIDDLE,볼리베어,Blue,5,3,60.0
MIDDLE,볼리베어,Red,3,2,66.67
MIDDLE,브라이어,Blue,6,4,66.67
MIDDLE,브라이어,Red,7,4,57.14
MIDDLE,브랜드,Blue,28,8,28.57
MIDDLE,브랜드,Red,32,17,53.12
MIDDLE,블라디미르,Blue,390,178,45.64
MIDDLE,블라디미르,Red,394,207,52.54
MIDDLE,비에고,Blue,124,60,48.39
MIDDLE,비에고,Red,125,70,56.0
MIDDLE,빅토르,Blue,1529,692,45.26
MIDDLE,빅토르,Red,1480,699,47.23
MIDDLE,뽀삐,Blue,17,11,64.71
MIDDLE,뽀삐,Red,5,5,100.0
MIDDLE,사이온,Blue,208,106,50.96
MIDDLE,사이온,Red,219,117,53.42
MIDDLE,사일러스,Blue,2011,985,48.98
MIDDLE,사일러스,Red,2093,1002,47.87
MIDDLE,샤코,Red,1,0,0.0
MIDDLE,세나,Red,2,1,50.0
MIDDLE,세라핀,Blue,22,7,31.82
MIDDLE,세라핀,Red,27,10,37.04
MIDDLE,세주아니,Blue,11,6,54.55
MIDDLE,세주아니,Red,9,4,44.44
MIDDLE,세트,Blue,24,14,58.33
MIDDLE,세트,Red,23,10,43.48
MIDDLE,소나,Red,1,0,0.0
MIDDLE,소라카,Blue,1,0,0.0
MIDDLE,소라카,Red,2,1,50.0
MIDDLE,쉔,Blue,9,5,55.56
MIDDLE,쉔,Red,13,8,61.54
MIDDLE,스몰더,Blue,146,66,45.21
MIDDLE,스몰더,Red,153,72,47.06
MIDDLE,스웨인,Blue,205,99,48.29
MIDDLE,스웨인,Red,216,115,53.24
MIDDLE,시비르,Blue,8,4,50.0
MIDDLE,시비르,Red,4,1,25.0
MIDDLE,신 짜오,Blue,10,5,50.0
MIDDLE,신 짜오,Red,15,5,33.33
MIDDLE,신드라,Blue,1313,627,47.75
MIDDLE,신드라,Red,1315,659,50.11
MIDDLE,신지드,Blue,104,58,55.77
MIDDLE,신지드,Red,104,54,51.92
MIDDLE,아리,Blue,1108,547,49.37
MIDDLE,아리,Red,1143,579,50.66
MIDDLE,아우렐리온 솔,Blue,400,204,51.0
MIDDLE,아우렐리온 솔,Red,419,218,52.03
MIDDLE,아이번,Blue,17,11,64.71
MIDDLE,아이번,Red,11,6,54.55
MIDDLE,아지르,Blue,702,334,47.58
MIDDLE,아지르,Red,637,300,47.1
MIDDLE,아칼리,Blue,2908,1354,46.56
MIDDLE,아칼리,Red,2973,1470,49.45
MIDDLE,아크샨,Blue,577,294,50.95
MIDDLE,아크샨,Red,613,322,52.53
MIDDLE,아트록스,Blue,67,32,47.76
MIDDLE,아트록스,Red,59,26,44.07
MIDDLE,아펠리오스,Blue,6,2,33.33
MIDDLE,아펠리오스,Red,1,0,0.0
MIDDLE,암베사,Blue,182,99,54.4
MIDDLE,암베사,Red,196,100,51.02
MIDDLE,애니,Blue,127,57,44.88
MIDDLE,애니,Red,117,52,44.44
MIDDLE,애니비아,Blue,670,364,54.33
MIDDLE,애니비아,Red,621,336,54.11
MIDDLE,애쉬,Blue,1,0,0.0
MIDDLE,애쉬,Red,2,0,0.0
MIDDLE,야스오,Blue,1117,548,49.06
MIDDLE,야스오,Red,1058,526,49.72
MIDDLE,에코,Blue,976,493,50.51
MIDDLE,에코,Red,946,457,48.31
MIDDLE,엘리스,Red,3,2,66.67
MIDDLE,오공,Blue,3,1,33.33
MIDDLE,오공,Red,2,0,0.0
MIDDLE,오로라,Blue,922,451,48.92
MIDDLE,오로라,Red,956,473,49.48
MIDDLE,오른,Blue,7,2,28.57
MIDDLE,오른,Red,6,5,83.33
MIDDLE,오리아나,Blue,3068,1574,51.3
MIDDLE,오리아나,Red,3072,1537,50.03
MIDDLE,올라프,Blue,5,4,80.0
MIDDLE,올라프,Red,3,2,66.67
MIDDLE,요네,Blue,1109,529,47.7
MIDDLE,요네,Red,1190,557,46.81
MIDDLE,요릭,Blue,9,4,44.44
MIDDLE,요릭,Red,11,1,9.09
MIDDLE,우디르,Blue,1,1,100.0
MIDDLE,우디르,Red,7,4,57.14
MIDDLE,우르곳,Blue,12,6,50.0
MIDDLE,우르곳,Red,21,12,57.14
MIDDLE,워윅,Blue,21,10,47.62
MIDDLE,워윅,Red,17,6,35.29
MIDDLE,유나라,Blue,13,6,46.15
MIDDLE,유나라,Red,10,4,40.0
MIDDLE,이렐리아,Blue,703,362,51.49
MIDDLE,이렐리아,Red,648,342,52.78
MIDDLE,이블린,Blue,3,0,0.0
MIDDLE,이블린,Red,3,1,33.33
MIDDLE,이즈리얼,Blue,22,11,50.0
MIDDLE,이즈리얼,Red,27,12,44.44
MIDDLE,일라오이,Blue,4,2,50.0
MIDDLE,일라오이,Red,10,4,40.0
MIDDLE,자르반 4세,Blue,6,4,66.67
MIDDLE,자르반 4세,Red,5,3,60.0
MIDDLE,자이라,Blue,22,10,45.45
MIDDLE,자이라,Red,12,5,41.67
MIDDLE,자크,Blue,103,56,54.37
MIDDLE,자크,Red,111,50,45.05
MIDDLE,자헨,Blue,43,17,39.53
MIDDLE,자헨,Red,37,18,48.65
MIDDLE,잔나,Red,1,1,100.0
MIDDLE,잭스,Blue,16,5,31.25
MIDDLE,잭스,Red,10,6,60.0
MIDDLE,제드,Blue,1387,699,50.4
MIDDLE,제드,Red,1401,747,53.32
MIDDLE,제라스,Blue,488,256,52.46
MIDDLE,제라스,Red,469,244,52.03
MIDDLE,제리,Blue,24,8,33.33
MIDDLE,제리,Red,25,14,56.0
MIDDLE,제이스,Blue,134,71,52.99
MIDDLE,제이스,Red,127,56,44.09
MIDDLE,조이,Blue,1432,758,52.93
MIDDLE,조이,Red,1493,782,52.38
MIDDLE,직스,Blue,87,46,52.87
MIDDLE,직스,Red,89,51,57.3
MIDDLE,진,Blue,3,1,33.33
MIDDLE,진,Red,2,2,100.0
MIDDLE,질리언,Blue,39,20,51.28
MIDDLE,질리언,Red,24,10,41.67
MIDDLE,징크스,Blue,2,1,50.0
MIDDLE,징크스,Red,2,0,0.0
MIDDLE,초가스,Blue,33,11,33.33
MIDDLE,초가스,Red,40,18,45.0
MIDDLE,카르마,Blue,64,29,45.31
MIDDLE,카르마,Red,64,29,45.31
MIDDLE,카밀,Blue,16,8,50.0
MIDDLE,카밀,Red,20,9,45.0
MIDDLE,카사딘,Blue,220,122,55.45
MIDDLE,카사딘,Red,237,121,51.05
MIDDLE,카서스,Blue,26,9,34.62
MIDDLE,카서스,Red,18,5,27.78
MIDDLE,카시오페아,Blue,420,216,51.43
MIDDLE,카시오페아,Red,411,198,48.18
MIDDLE,카이사,Blue,14,6,42.86
MIDDLE,카이사,Red,23,6,26.09
MIDDLE,카직스,Blue,2,1,50.0
MIDDLE,카타리나,Blue,1516,794,52.37
MIDDLE,카타리나,Red,1545,805,52.1
MIDDLE,칼리스타,Blue,1,1,100.0
MIDDLE,케넨,Blue,66,43,65.15
MIDDLE,케넨,Red,55,33,60.0
MIDDLE,케이틀린,Blue,2,1,50.0
MIDDLE,케이틀린,Red,2,2,100.0
MIDDLE,케인,Blue,2,2,100.0
MIDDLE,케인,Red,1,0,0.0
MIDDLE,케일,Blue,26,12,46.15
MIDDLE,케일,Red,20,9,45.0
MIDDLE,코그모,Blue,9,5,55.56
MIDDLE,코그모,Red,11,6,54.55
MIDDLE,코르키,Blue,288,139,48.26
MIDDLE,코르키,Red,360,176,48.89
MIDDLE,퀸,Blue,44,15,34.09
MIDDLE,퀸,Red,28,10,35.71
MIDDLE,크산테,Blue,46,26,56.52
MIDDLE,크산테,Red,55,27,49.09
MIDDLE,클레드,Blue,55,28,50.91
MIDDLE,클레드,Red,70,35,50.0
MIDDLE,키아나,Blue,856,469,54.79
MIDDLE,키아나,Red,970,527,54.33
MIDDLE,킨드레드,Red,1,0,0.0
MIDDLE,타릭,Blue,1,0,0.0
MIDDLE,타릭,Red,1,0,0.0
MIDDLE,탈론,Blue,943,488,51.75
MIDDLE,탈론,Red,916,486,53.06
MIDDLE,탈리야,Blue,1188,593,49.92
MIDDLE,탈리야,Red,1163,577,49.61
MIDDLE,탐 켄치,Blue,3,2,66.67
MIDDLE,탐 켄치,Red,3,1,33.33
