position,champion,spell1,spell2,total_games,win_count,win_rate
MIDDLE,블라디미르,유체화,점화,10,3,30.0
MIDDLE,블라디미르,점화,점멸,296,144,48.65
MIDDLE,비에고,방어막,점멸,5,3,60.0
MIDDLE,비에고,순간이동,점멸,97,54,55.67
MIDDLE,비에고,점화,점멸,137,69,50.36
MIDDLE,비에고,탈진,점멸,8,2,25.0
MIDDLE,빅토르,방어막,점멸,38,18,47.37
MIDDLE,빅토르,순간이동,점멸,2637,1206,45.73
MIDDLE,빅토르,유체화,점멸,216,108,50.0
MIDDLE,빅토르,점화,점멸,48,27,56.25
MIDDLE,빅토르,정화,점멸,33,20,60.61
MIDDLE,빅토르,탈진,점멸,32,12,37.5
MIDDLE,뽀삐,순간이동,점멸,14,10,71.43
MIDDLE,뽀삐,점화,점멸,8,6,75.0
MIDDLE,사이온,순간이동,점멸,403,213,52.85
MIDDLE,사이온,점화,점멸,17,7,41.18
MIDDLE,사일러스,순간이동,점멸,2868,1386,48.33
MIDDLE,사일러스,점화,점멸,1196,583,48.75
MIDDLE,사일러스,정화,점멸,12,4,33.33
MIDDLE,사일러스,탈진,점멸,25,13,52.0
MIDDLE,세라핀,순간이동,점멸,42,14,33.33
MIDDLE,세주아니,순간이동,점멸,7,3,42.86
MIDDLE,세주아니,순간이동,점화,8,4,50.0
MIDDLE,세트,순간이동,점멸,20,9,45.0
MIDDLE,세트,유체화,점멸,14,9,64.29
MIDDLE,세트,점화,점멸,12,6,50.0
MIDDLE,쉔,순간이동,점멸,5,1,20.0
MIDDLE,쉔,점화,점멸,16,11,68.75
MIDDLE,스몰더,방어막,점멸,7,4,57.14
MIDDLE,스몰더,순간이동,점멸,258,119,46.12
MIDDLE,스몰더,유체화,점멸,21,11,52.38
MIDDLE,스몰더,탈진,점멸,7,2,28.57
MIDDLE,스웨인,순간이동,점멸,200,96,48.0
MIDDLE,스웨인,유체화,점멸,205,115,56.1
MIDDLE,스웨인,점화,점멸,8,1,12.5
MIDDLE,스웨인,탈진,점멸,7,2,28.57
MIDDLE,시비르,순간이동,점멸,7,3,42.86
MIDDLE,신 짜오,점화,점멸,22,8,36.36
MIDDLE,신드라,방어막,점멸,35,19,54.29
MIDDLE,신드라,순간이동,점멸,1973,954,48.35
MIDDLE,신드라,유체화,점멸,439,227,51.71
MIDDLE,신드라,점화,점멸,72,34,47.22
MIDDLE,신드라,정화,점멸,58,31,53.45
MIDDLE,신드라,탈진,점멸,43,18,41.86
MIDDLE,신드라,회복,점멸,8,3,37.5
MIDDLE,신지드,순간이동,점멸,8,6,75.0
MIDDLE,신지드,유체화,점멸,145,75,51.72
MIDDLE,신지드,유체화,점화,13,8,61.54
MIDDLE,신지드,점화,점멸,35,21,60.0
MIDDLE,아리,순간이동,점멸,1730,860,49.71
MIDDLE,아리,점화,점멸,486,256,52.67
MIDDLE,아리,정화,점멸,13,4,30.77
