position,champion,avg_cs,avg_gold,avg_plates,avg_early_kills
JUNGLE,노틸러스,149.0,9468.8333,25.0,2.8
UTILITY,코그모,57.0,12085.125,16.0,2.0
BOTTOM,신드라,199.5556,11766.7222,15.89,2.93
UTILITY,아리,53.8,9293.8667,16.6,2.38
UTILITY,탈론,39.5,6660.5,9.5,2.0
JUNGLE,초가스,172.6475,11052.0791,23.19,2.76
BOTTOM,세트,224.5,12011.0,9.5,3.0
TOP,럭스,204.3333,10772.6667,12.67,2.0
MIDDLE,뽀삐,161.4091,9176.2273,16.41,2.71
BOTTOM,하이머딩거,205.84,12469.664,15.08,3.54
UTILITY,케이틀린,37.8125,8180.4375,19.12,2.75
MIDDLE,킨드레드,101.0,4247.0,7.0,0.0
UTILITY,야스오,77.0,8856.25,24.5,3.0
UTILITY,트위스티드 페이트,40.2,8525.7,16.15,1.89
JUNGLE,볼리베어,168.4355,11004.5323,29.26,2.93
MIDDLE,다리우스,200.0,11953.625,14.12,4.71
TOP,애니,158.0,9249.0,22.0,2.0
MIDDLE,퀸,192.3333,12220.5556,23.31,2.77
MIDDLE,요릭,215.9,10466.3,20.1,1.67
JUNGLE,트린다미어,239.5,13116.5,33.5,2.0
MIDDLE,럼블,188.5143,11087.619,17.97,2.83
UTILITY,자헨,37.0,7128.6667,30.0,0.0
TOP,흐웨이,205.0,11007.2308,17.62,1.88
TOP,마스터 이,173.1383,10648.6702,17.84,3.01
UTILITY,이즈리얼,49.5556,9971.5556,16.11,1.88
TOP,나피리,191.029,11142.1014,16.29,2.69
UTILITY,렉사이,27.4,8854.4,23.2,2.25
TOP,카서스,233.125,13476.75,24.62,3.83
UTILITY,문도 박사,33.5294,7132.9412,15.0,1.92
UTILITY,애니,31.7692,8022.5385,19.23,1.78
TOP,벨베스,179.4167,9997.8333,15.74,2.77
MIDDLE,자르반 4세,170.9091,10787.9091,13.0,2.5
UTILITY,말자하,41.5,7419.8333,19.5,1.33
UTILITY,벨베스,35.1667,9607.1667,7.17,4.25
TOP,니코,190.2169,10497.4217,17.51,1.92
JUNGLE,쉔,178.4286,11694.4286,34.62,2.44
JUNGLE,카이사,154.4545,9838.2727,31.29,1.8
UTILITY,벡스,54.25,10960.75,14.5,2.0
MIDDLE,카이사,227.9189,13275.3514,19.38,2.31
MIDDLE,진,188.8,11915.8,20.6,4.2
MIDDLE,가렌,213.4828,11296.8276,19.4,1.94
TOP,비에고,205.0172,11844.1034,17.49,2.76
MIDDLE,그웬,191.7727,10885.5455,13.09,2.29
TOP,알리스타,116.6667,7828.3333,29.67,2.0
TOP,탈리야,186.1111,9734.6667,13.44,1.33
MIDDLE,애쉬,158.0,6773.3333,17.67,2.0
JUNGLE,브라이어,174.8963,12571.6,26.07,3.69
MIDDLE,우르곳,192.4242,11055.0909,14.03,2.07
UTILITY,신 짜오,38.5455,9249.1818,18.09,2.83
JUNGLE,티모,164.5714,9227.5714,42.0,1.43
TOP,케이틀린,190.5,10207.2,10.3,2.0
UTILITY,바이,33.2222,8041.8333,16.11,2.27
MIDDLE,아펠리오스,200.7143,11196.8571,25.57,2.0
MIDDLE,이블린,153.5,10005.3333,20.33,2.33
MIDDLE,케일,233.2609,11802.9348,21.46,1.79
MIDDLE,일라오이,220.7857,11229.9286,13.79,2.23
MIDDLE,티모,185.3,9070.9,14.0,1.71
UTILITY,베이가,43.2632,9073.7237,19.58,2.12
MIDDLE,그레이브즈,196.8182,10717.7273,19.7,3.0
TOP,카이사,210.7826,12162.8261,16.87,2.58
MIDDLE,브랜드,190.9833,10363.2667,19.85,2.19
MIDDLE,코그모,203.6,11739.0,17.53,2.27
MIDDLE,바이,174.8889,11488.0,17.11,4.0
TOP,피들스틱,155.2632,9448.1754,20.23,1.8
JUNGLE,아우렐리온 솔,184.875,13295.0,32.0,3.86
TOP,코그모,180.0,8964.8571,17.43,1.43
JUNGLE,쉬바나,213.3684,11879.2105,24.3,1.83
MIDDLE,오른,177.1538,9356.6923,16.23,1.89
BOTTOM,트위스티드 페이트,194.3333,12575.5,14.33,2.67
MIDDLE,피오라,201.3333,11414.381,13.0,2.0
TOP,질리언,192.75,10606.75,25.08,2.0
MIDDLE,워윅,194.3947,10608.5789,19.03,2.88
