position,champion,rune_key,rune_main,rune_sub,total_games,win_count,win_rate
TOP,우르곳,기민한 발놀림,정밀,결의,6,3,50.0
TOP,우르곳,기민한 발놀림,정밀,영감,9,7,77.78
TOP,우르곳,난입,마법,결의,16,9,56.25
TOP,우르곳,난입,마법,영감,74,47,63.51
TOP,우르곳,봉인 풀린 주문서,영감,결의,11,6,54.55
TOP,우르곳,신비로운 유성,마법,결의,5,1,20.0
TOP,우르곳,신비로운 유성,마법,영감,72,34,47.22
TOP,우르곳,정복자,정밀,결의,26,10,38.46
TOP,우르곳,정복자,정밀,마법,5,4,80.0
TOP,우르곳,정복자,정밀,영감,9,5,55.56
TOP,우르곳,집중 공격,정밀,결의,374,205,54.81
TOP,우르곳,집중 공격,정밀,마법,72,36,50.0
TOP,우르곳,집중 공격,정밀,영감,253,147,58.1
TOP,워윅,기민한 발놀림,정밀,결의,5,3,60.0
TOP,워윅,집중 공격,정밀,결의,11,2,18.18
TOP,워윅,착취의 손아귀,결의,정밀,6,1,16.67
TOP,워윅,치명적 속도,정밀,결의,742,379,51.08
TOP,이렐리아,정복자,정밀,결의,204,96,47.06
TOP,이렐리아,정복자,정밀,영감,2082,1066,51.2
TOP,이렐리아,집중 공격,정밀,영감,6,2,33.33
TOP,이렐리아,치명적 속도,정밀,결의,15,5,33.33
TOP,이렐리아,치명적 속도,정밀,영감,11,4,36.36
TOP,이블린,정복자,정밀,마법,7,2,28.57
TOP,일라오이,봉인 풀린 주문서,영감,정밀,6,0,0.0
TOP,일라오이,정복자,정밀,결의,63,20,31.75
TOP,일라오이,정복자,정밀,마법,47,27,57.45
TOP,일라오이,정복자,정밀,영감,45,20,44.44
TOP,일라오이,착취의 손아귀,결의,마법,161,75,46.58
TOP,일라오이,착취의 손아귀,결의,정밀,72,30,41.67
TOP,자크,기민한 발놀림,정밀,결의,5,3,60.0
TOP,자크,난입,마법,결의,10,4,40.0
TOP,자크,여진,결의,정밀,7,3,42.86
TOP,자크,정복자,정밀,결의,49,24,48.98
TOP,자크,착취의 손아귀,결의,영감,8,4,50.0
TOP,자크,착취의 손아귀,결의,정밀,271,128,47.23
TOP,자헨,기민한 발놀림,정밀,결의,19,11,57.89
TOP,자헨,정복자,정밀,결의,1236,624,50.49
TOP,자헨,정복자,정밀,영감,148,82,55.41
TOP,자헨,집중 공격,정밀,결의,9,7,77.78
TOP,자헨,착취의 손아귀,결의,영감,1318,664,50.38
TOP,자헨,착취의 손아귀,결의,정밀,104,54,51.92
TOP,자헨,착취의 손아귀,결의,지배,9,4,44.44
TOP,자헨,칼날비,지배,결의,26,11,42.31
TOP,잭스,감전,지배,결의,5,4,80.0
TOP,잭스,감전,지배,마법,12,4,33.33
TOP,잭스,감전,지배,정밀,21,11,52.38
TOP,잭스,기민한 발놀림,정밀,결의,39,22,56.41
TOP,잭스,기민한 발놀림,정밀,영감,12,5,41.67
TOP,잭스,난입,마법,결의,32,17,53.12
TOP,잭스,난입,마법,영감,71,31,43.66
TOP,잭스,정복자,정밀,결의,54,23,42.59
TOP,잭스,정복자,정밀,마법,27,17,62.96
TOP,잭스,정복자,정밀,영감,123,62,50.41
TOP,잭스,집중 공격,정밀,결의,19,9,47.37
TOP,잭스,집중 공격,정밀,영감,64,33,51.56
TOP,잭스,착취의 손아귀,결의,마법,116,64,55.17
TOP,잭스,착취의 손아귀,결의,영감,2535,1293,51.01
TOP,잭스,착취의 손아귀,결의,정밀,91,56,61.54
TOP,잭스,착취의 손아귀,결의,지배,7,6,85.71
TOP,잭스,치명적 속도,정밀,결의,573,284,49.56
TOP,잭스,치명적 속도,정밀,마법,16,8,50.0
TOP,잭스,치명적 속도,정밀,영감,748,387,51.74
TOP,제드,감전,지배,마법,9,3,33.33
TOP,제드,선제공격,영감,결의,9,5,55.56
TOP,제드,선제공격,영감,마법,19,11,57.89
TOP,제드,선제공격,영감,정밀,64,32,50.0
TOP,제드,정복자,정밀,결의,12,4,33.33
TOP,제드,정복자,정밀,마법,31,17,54.84
TOP,제드,정복자,정밀,영감,23,8,34.78
TOP,제이스,감전,지배,결의,13,8,61.54
