position,champion,item_name,total_games,win_count,win_rate
JUNGLE,키아나,새끼 화염발톱,13,0,0.0
JUNGLE,키아나,장화,560,203,36.25
JUNGLE,킨드레드,도란의 검,10,6,60.0
JUNGLE,킨드레드,롱소드,242,103,42.56
JUNGLE,킨드레드,마법무효화의 망토,22,11,50.0
JUNGLE,킨드레드,새끼 바람돌이,6,0,0.0
JUNGLE,킨드레드,새끼 화염발톱,40,4,10.0
JUNGLE,킨드레드,장화,121,42,34.71
JUNGLE,탈론,롱소드,634,258,40.69
JUNGLE,탈론,새끼 바람돌이,29,3,10.34
JUNGLE,탈론,새끼 화염발톱,7,0,0.0
JUNGLE,탈론,장화,418,166,39.71
JUNGLE,탈리야,새끼 화염발톱,9,0,0.0
JUNGLE,탈리야,암흑의 인장,308,167,54.22
JUNGLE,탈리야,장화,28,15,53.57
JUNGLE,탈리야,증폭의 고서,146,61,41.78
JUNGLE,트런들,마법무효화의 망토,9,3,33.33
JUNGLE,트런들,새끼 바람돌이,8,0,0.0
JUNGLE,판테온,롱소드,76,24,31.58
JUNGLE,판테온,새끼 바람돌이,6,0,0.0
JUNGLE,판테온,새끼 화염발톱,10,1,10.0
JUNGLE,판테온,장화,17,3,17.65
JUNGLE,피들스틱,마법무효화의 망토,8,5,62.5
JUNGLE,피들스틱,새끼 바람돌이,18,4,22.22
JUNGLE,피들스틱,암흑의 인장,195,117,60.0
JUNGLE,피들스틱,장화,30,15,50.0
JUNGLE,피들스틱,증폭의 고서,181,86,47.51
JUNGLE,헤카림,롱소드,722,299,41.41
JUNGLE,헤카림,마법무효화의 망토,88,46,52.27
JUNGLE,헤카림,새끼 바람돌이,40,3,7.5
JUNGLE,헤카림,여신의 눈물,8,1,12.5
JUNGLE,헤카림,장화,28,9,32.14
MIDDLE,가렌,도란의 검,5,2,40.0
MIDDLE,가렌,도란의 방패,36,15,41.67
MIDDLE,가렌,롱소드,7,2,28.57
MIDDLE,갈리오,도란의 반지,2447,1112,45.44
MIDDLE,갈리오,도란의 방패,118,45,38.14
MIDDLE,갈리오,마법무효화의 망토,34,9,26.47
MIDDLE,갈리오,암흑의 인장,1847,930,50.35
MIDDLE,갈리오,장화,224,30,13.39
MIDDLE,갈리오,증폭의 고서,966,414,42.86
MIDDLE,갱플랭크,도란의 검,13,4,30.77
MIDDLE,갱플랭크,도란의 방패,16,5,31.25
MIDDLE,갱플랭크,롱소드,12,6,50.0
MIDDLE,갱플랭크,장화,13,5,38.46
MIDDLE,그라가스,도란의 반지,116,71,61.21
MIDDLE,그라가스,암흑의 인장,20,13,65.0
MIDDLE,그라가스,여신의 눈물,52,28,53.85
MIDDLE,그라가스,증폭의 고서,66,30,45.45
MIDDLE,그레이브즈,도란의 검,10,4,40.0
MIDDLE,그웬,도란의 반지,7,5,71.43
MIDDLE,그웬,도란의 방패,6,3,50.0
MIDDLE,그웬,암흑의 인장,5,4,80.0
MIDDLE,나르,도란의 검,6,3,50.0
MIDDLE,나서스,도란의 방패,21,13,61.9
MIDDLE,나피리,도란의 검,245,122,49.8
MIDDLE,나피리,도란의 방패,24,13,54.17
MIDDLE,나피리,롱소드,242,120,49.59
MIDDLE,나피리,마법무효화의 망토,8,3,37.5
MIDDLE,나피리,장화,56,13,23.21
MIDDLE,노틸러스,도란의 반지,5,2,40.0
MIDDLE,녹턴,도란의 검,14,9,64.29
MIDDLE,녹턴,도란의 방패,10,4,40.0
MIDDLE,녹턴,롱소드,12,7,58.33
MIDDLE,녹턴,장화,6,3,50.0
MIDDLE,누누와 윌럼프,도란의 반지,161,89,55.28
MIDDLE,누누와 윌럼프,암흑의 인장,186,98,52.69
