champion,item_name,pick_count,win_rate
스몰더,장화,13,0.0
스몰더,천 갑옷,11,63.64
스몰더,무라마나,10,30.0
스웨인,도란의 반지,544,56.62
스웨인,라일라이의 수정홀,389,59.9
스웨인,존야의 모래시계,387,56.33
스웨인,리안드리의 고통,385,57.14
스웨인,악의,306,60.13
스웨인,증폭의 고서,176,54.55
스웨인,어둠불꽃 횃불,168,51.79
스웨인,균열 생성기,158,56.96
스웨인,기괴한 가면,127,59.06
스웨인,암흑의 인장,110,48.18
스웨인,망각의 구,83,51.81
스웨인,제어 와드,77,44.16
스웨인,정령의 형상,75,62.67
스웨인,부서진 팔목 보호대,75,56.0
스웨인,종말의 겨울,73,53.42
스웨인,충전형 물약,67,55.22
스웨인,악마의 마법서,66,46.97
스웨인,메자이의 영혼약탈자,62,95.16
스웨인,추적자의 팔목 보호대,58,67.24
스웨인,핏빛 저주,57,49.12
스웨인,쓸데없이 큰 지팡이,55,65.45
스웨인,그림자불꽃,50,52.0
스웨인,얼어붙은 심장,47,76.6
스웨인,루비 수정,44,70.45
스웨인,운명의 재,33,66.67
스웨인,점화석,33,66.67
스웨인,천 갑옷,32,62.5
스웨인,거인의 허리띠,26,46.15
스웨인,방출의 마법봉,24,50.0
스웨인,망령의 두건,23,65.22
스웨인,실체화 장비,19,63.16
스웨인,마법무효화의 망토,18,61.11
스웨인,란두인의 예언,18,61.11
스웨인,공허의 지팡이,17,58.82
스웨인,여신의 눈물,15,40.0
스웨인,모렐로노미콘,14,42.86
스웨인,역병의 보석,14,50.0
스웨인,빛나는 티끌,13,53.85
스웨인,음전자 망토,13,61.54
스웨인,케이닉 루컨,11,63.64
스웨인,루덴의 메아리,11,72.73
스웨인,라바돈의 죽음모자,10,60.0
시비르,나보리 명멸검,2666,56.98
시비르,도란의 검,2539,52.03
시비르,정수 약탈자,2486,52.49
시비르,무한의 대검,2092,60.42
시비르,윤 탈 야생화살,719,57.16
시비르,도미닉 경의 인사,697,61.12
시비르,B.F. 대검,694,57.35
시비르,민첩성의 망토,628,47.13
시비르,필멸자의 운명,580,59.83
시비르,롱소드,538,50.74
시비르,단검,534,35.39
시비르,곡괭이,400,45.75
시비르,수확의 낫,367,43.32
시비르,피바라기,354,61.58
시비르,최후의 속삭임,276,51.45
시비르,충전형 물약,255,50.59
시비르,제어 와드,244,59.43
시비르,수호 천사,243,63.79
시비르,열정의 검,222,40.09
시비르,흡혈의 낫,213,59.15
시비르,처형인의 대검,185,44.32
시비르,절정의 화살,139,46.76
시비르,불멸의 철갑궁,96,61.46
시비르,징수의 총,89,53.93
시비르,강철 인장,87,65.52
시비르,악마사냥꾼의 화살,71,54.93
시비르,맬모셔스의 아귀,66,63.64
시비르,스태틱의 단검,59,50.85
시비르,주문포식자,43,60.47
시비르,폭풍갈퀴,38,65.79
시비르,장화,35,2.86
시비르,천 갑옷,35,68.57
시비르,톱날 단검,31,41.94
시비르,독사의 송곳니,27,70.37
시비르,헤르메스의 시미터,27,66.67
시비르,광전사의 군화,26,0.0
시비르,수은 장식띠,22,68.18
시비르,유령 무희,19,47.37
시비르,크라켄 학살자,18,55.56
시비르,마법광학 장치 C44,17,52.94
시비르,마법무효화의 망토,16,68.75
시비르,콜필드의 전투 망치,15,6.67
시비르,광휘의 검,12,0.0
신드라,도란의 반지,14,57.14
신드라,그림자불꽃,13,53.85
신드라,루덴의 메아리,12,58.33
신지드,리안드리의 고통,179,55.87
신지드,그림자불꽃,113,57.52
신지드,암흑의 인장,95,46.32
신지드,마법공학 로켓 벨트,57,57.89
신지드,도란의 반지,51,58.82
신지드,원형질 안전벨트,47,59.57
신지드,핏빛 저주,46,63.04
신지드,메자이의 영혼약탈자,45,86.67
신지드,증폭의 고서,44,56.82
신지드,해신 작쇼,30,73.33
신지드,루비 수정,29,27.59
신지드,제어 와드,25,68.0
신지드,기괴한 가면,24,25.0
신지드,균열 생성기,20,45.0
신지드,거인의 허리띠,19,57.89
신지드,쓸데없이 큰 지팡이,19,63.16
신지드,마법공학 교류 발전기,16,68.75
신지드,악마의 마법서,15,40.0
신지드,쇠사슬 조끼,11,54.55
신지드,신속의 장화,10,20.0
신지드,존야의 모래시계,10,60.0
아우렐리온 솔,라일라이의 수정홀,237,50.63
아우렐리온 솔,리안드리의 고통,207,52.66
아우렐리온 솔,암흑의 인장,134,52.24
아우렐리온 솔,도란의 반지,110,48.18
아우렐리온 솔,존야의 모래시계,93,51.61
아우렐리온 솔,핏빛 저주,52,50.0
아우렐리온 솔,무덤꽃,39,48.72
아우렐리온 솔,공허의 지팡이,34,44.12
아우렐리온 솔,증폭의 고서,32,40.63
아우렐리온 솔,망각의 구,30,46.67
아우렐리온 솔,악마의 마법서,29,55.17
아우렐리온 솔,쓸데없이 큰 지팡이,26,53.85
아우렐리온 솔,메자이의 영혼약탈자,23,78.26
아우렐리온 솔,추적자의 팔목 보호대,23,60.87
아우렐리온 솔,밴시의 장막,22,59.09
아우렐리온 솔,어둠불꽃 횃불,21,52.38
아우렐리온 솔,기괴한 가면,21,52.38
아우렐리온 솔,신록의 장벽,19,63.16
아우렐리온 솔,부서진 팔목 보호대,19,73.68
아우렐리온 솔,운명의 재,16,56.25
아우렐리온 솔,제어 와드,16,62.5
아우렐리온 솔,라바돈의 죽음모자,14,42.86
아우렐리온 솔,역병의 보석,11,36.36
아펠리오스,도란의 검,10246,48.85
아펠리오스,무한의 대검,9957,54.68
아펠리오스,징수의 총,8948,49.68
아펠리오스,폭풍갈퀴,5047,53.81
아펠리오스,도미닉 경의 인사,4480,59.24
아펠리오스,민첩성의 망토,3008,43.25
아펠리오스,롱소드,2898,43.0
아펠리오스,B.F. 대검,2558,53.91
아펠리오스,유령 무희,2472,59.47
아펠리오스,불멸의 철갑궁,1973,59.05
아펠리오스,곡괭이,1808,43.36
아펠리오스,절정의 화살,1493,46.01
아펠리오스,최후의 속삭임,1199,41.95
아펠리오스,단검,1195,46.19
아펠리오스,충전형 물약,1128,42.46
아펠리오스,필멸자의 운명,1064,53.67
아펠리오스,피바라기,1049,58.91
아펠리오스,수확의 낫,931,37.92
아펠리오스,제어 와드,927,53.72
아펠리오스,수호 천사,879,67.12
아펠리오스,루난의 허리케인,676,54.88
아펠리오스,흡혈의 낫,665,56.69
아펠리오스,열정의 검,611,51.72
아펠리오스,마법광학 장치 C44,327,61.47
아펠리오스,고속 연사포,317,61.83
아펠리오스,헤르메스의 시미터,307,57.33
아펠리오스,톱날 단검,267,39.33
아펠리오스,강철 인장,258,58.53
아펠리오스,장화,213,1.41
아펠리오스,정찰병의 새총,212,39.15
아펠리오스,수은 장식띠,210,58.57
아펠리오스,처형인의 대검,194,36.08
아펠리오스,맬모셔스의 아귀,192,57.29
아펠리오스,주문포식자,141,57.45
아펠리오스,광전사의 군화,131,6.11
아펠리오스,윤 탈 야생화살,118,55.93
아펠리오스,악마사냥꾼의 화살,109,60.55
아펠리오스,요우무의 유령검,106,52.83
아펠리오스,천 갑옷,100,62.0
아펠리오스,마법무효화의 망토,98,67.35
아펠리오스,독사의 송곳니,74,55.41
아펠리오스,밤의 끝자락,57,64.91
아펠리오스,숙련의 영약,50,2.0
아펠리오스,힘의 영약,37,13.51
아펠리오스,란두인의 예언,32,46.88
아펠리오스,신속의 장화,26,0.0
아펠리오스,파수꾼의 갑옷,21,57.14
아펠리오스,크라켄 학살자,21,47.62
아펠리오스,콜필드의 전투 망치,18,50.0
아펠리오스,체력 물약,16,43.75
아펠리오스,꽁지깃,11,54.55
애니비아,도란의 반지,13,53.85
애니비아,악의,10,40.0
애쉬,크라켄 학살자,1476,47.43
애쉬,도란의 검,1453,47.28
애쉬,유령 무희,1128,50.89
애쉬,무한의 대검,618,58.09
애쉬,B.F. 대검,361,55.68
애쉬,단검,361,32.96
애쉬,민첩성의 망토,342,38.89
애쉬,롱소드,295,43.73
애쉬,곡괭이,286,45.45
애쉬,피바라기,216,50.46
애쉬,충전형 물약,203,45.81
애쉬,악마사냥꾼의 화살,200,53.5
애쉬,도미닉 경의 인사,194,46.91
애쉬,필멸자의 운명,169,54.44
애쉬,흡혈의 낫,141,63.12
애쉬,제어 와드,141,48.23
애쉬,열정의 검,125,50.4
애쉬,최후의 속삭임,111,50.45
애쉬,루난의 허리케인,108,52.78
애쉬,윤 탈 야생화살,104,50.0
애쉬,처형인의 대검,96,40.63
애쉬,절정의 화살,85,54.12
애쉬,수호 천사,66,63.64
애쉬,몰락한 왕의 검,65,52.31
애쉬,폭풍갈퀴,63,68.25
애쉬,수확의 낫,60,45.0
애쉬,불멸의 철갑궁,50,60.0
애쉬,곡궁,45,40.0
애쉬,광전사의 군화,44,2.27
애쉬,정수 약탈자,38,57.89
애쉬,마법광학 장치 C44,34,58.82
애쉬,강철 인장,31,38.71
애쉬,온기가 필요한 자의 도끼,29,27.59
애쉬,수은 장식띠,25,56.0
애쉬,정찰병의 새총,21,33.33
애쉬,꽁지깃,20,0.0
애쉬,맬모셔스의 아귀,17,52.94
애쉬,마법사의 최후,16,75.0
애쉬,헤르메스의 시미터,16,56.25
애쉬,경계,16,31.25
애쉬,천 갑옷,15,73.33
애쉬,주문포식자,14,71.43
애쉬,장화,14,0.0
애쉬,굳건한 의지의 완전한 비스킷,13,30.77
야스오,도란의 검,172,55.23
야스오,몰락한 왕의 검,166,56.63
야스오,크라켄 학살자,154,53.25
야스오,불멸의 철갑궁,150,55.33
야스오,무한의 대검,144,56.94
야스오,민첩성의 망토,84,42.86
야스오,도란의 방패,77,49.35
야스오,곡괭이,76,52.63
야스오,롱소드,75,60.0
야스오,도미닉 경의 인사,64,64.06
야스오,절정의 화살,49,57.14
야스오,B.F. 대검,33,66.67
야스오,필멸자의 운명,29,65.52
야스오,제어 와드,29,51.72
야스오,루비 수정,27,66.67
야스오,강철 인장,26,69.23
야스오,죽음의 무도,22,59.09
야스오,광전사의 군화,21,4.76
야스오,악마사냥꾼의 화살,20,40.0
야스오,충전형 물약,18,55.56
야스오,최후의 속삭임,18,50.0
야스오,스테락의 도전,15,53.33
야스오,처형인의 대검,14,35.71
야스오,땅굴 채굴기,11,54.55
야스오,단검,11,18.18
야스오,곡궁,11,18.18
유나라,크라켄 학살자,7775,49.53
유나라,도란의 검,6169,48.05
